date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:21:32	263/263	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2010%20May%202023%2004:51:30%20GMT	http://androthemes.com/themes/html/nycondos/index.html	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/index.0.delayed	(from )
10:21:34	46473/46473	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Aug%202020%2022:24:24%20GMT	https://androthemes.com/themes/html/nycondos/index.html	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/index.html	(from )
10:21:35	67/67	---MC-	200	added ('OK')	text/plain	date:Wed,%2010%20May%202023%2004:51:33%20GMT	https://androthemes.com/robots.txt		(from )
10:21:37	766/766	---M--	200	added ('OK')	image/x-icon	date:Thu,%2027%20Aug%202020%2020:03:12%20GMT	https://androthemes.com/themes/html/nycondos/assets/img/favicon.ico	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/assets/img/favicon.ico	(from https://androthemes.com/themes/html/nycondos/index.html)
10:21:39	71744/71744	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2020:02:44%20GMT	https://androthemes.com/themes/html/nycondos/assets/css/animate.min.css	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/assets/css/animate.min.css	(from https://androthemes.com/themes/html/nycondos/index.html)
10:21:40	160358/160358	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2020:02:46%20GMT	https://androthemes.com/themes/html/nycondos/assets/css/bootstrap.min.css	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/assets/css/bootstrap.min.css	(from https://androthemes.com/themes/html/nycondos/index.html)
10:21:41	79812/79812	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2020:02:46%20GMT	https://androthemes.com/themes/html/nycondos/assets/css/font-awesome.min.css	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/assets/css/font-awesome.min.css	(from https://androthemes.com/themes/html/nycondos/index.html)
10:21:42	5164/5164	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2020:02:46%20GMT	https://androthemes.com/themes/html/nycondos/assets/css/flaticon.css	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/assets/css/flaticon.css	(from https://androthemes.com/themes/html/nycondos/index.html)
10:21:43	6951/6951	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2020:02:46%20GMT	https://androthemes.com/themes/html/nycondos/assets/css/magnific-popup.css	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/assets/css/magnific-popup.css	(from https://androthemes.com/themes/html/nycondos/index.html)
10:21:44	1590/1590	---M--	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2020:02:46%20GMT	https://androthemes.com/themes/html/nycondos/assets/css/slick.css	E:/Templates/NY(Zara)/androthemes.com/themes/html/nycondos/assets/css/slick.css	(from https://androthemes.com/themes/html/nycondos/index.html)
